City,Latitude,Longitude,Maximum Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Date and Time
São Filipe,14.8961,-24.4956,72.28,78,6,13.89,CV,2022-05-22 19:22:13
Kuusamo,65.9667,29.1833,39.24,93,100,8.05,FI,2022-05-22 19:22:13
Tautira,-17.7333,-149.15,79.23,74,26,14.63,PF,2022-05-22 19:22:14
Xichang,27.8964,102.2634,62.71,81,99,1.81,CN,2022-05-22 19:22:14
Hermanus,-34.4187,19.2345,60.31,85,69,7.63,ZA,2022-05-22 19:22:14
Fortuna,40.5982,-124.1573,62.85,80,75,9.22,US,2022-05-22 19:22:15
Port Elizabeth,-33.918,25.5701,56.1,88,0,2.3,ZA,2022-05-22 19:22:15
Esperance,-33.8667,121.9,63.0,74,24,10.92,AU,2022-05-22 19:22:15
Saint Paul Harbor,57.79,-152.4072,51.31,76,75,12.66,US,2022-05-22 19:21:37
Pemba,-12.974,40.5178,79.5,83,20,6.91,MZ,2022-05-22 19:22:16
Castro,-24.7911,-50.0119,64.49,51,4,5.06,BR,2022-05-22 19:22:16
Dikson,73.5069,80.5464,21.96,92,76,8.61,RU,2022-05-22 19:22:17
Opuwo,-18.0607,13.84,60.51,19,2,7.14,NA,2022-05-22 19:22:17
San Francisco,37.7749,-122.4194,85.51,61,20,14.97,US,2022-05-22 19:18:37
Krasnyy Chikoy,50.3643,108.7512,50.79,74,100,1.12,RU,2022-05-22 19:22:18
Azatavan,39.9832,44.5053,75.4,34,6,1.34,AM,2022-05-22 19:22:18
Olinda,-8.0089,-34.8553,82.13,74,75,20.71,BR,2022-05-22 19:22:19
Kerrobert,51.9168,-109.1348,59.05,24,22,14.65,CA,2022-05-22 19:22:19
Nome,64.5011,-165.4064,64.47,20,0,16.11,US,2022-05-22 19:22:20
George Town,5.4112,100.3354,82.33,92,20,2.3,MY,2022-05-22 19:20:04
Bredasdorp,-34.5322,20.0403,56.37,90,38,5.41,ZA,2022-05-22 19:22:21
Punta de Bombón,-17.1717,-71.7931,67.23,74,48,8.68,PE,2022-05-22 19:22:21
Alta Floresta,-9.8756,-56.0861,91.22,29,0,4.61,BR,2022-05-22 19:22:22
Hobyo,5.3505,48.5268,80.22,85,100,29.39,SO,2022-05-22 19:22:22
Nantucket,41.2835,-70.0995,71.71,77,0,11.5,US,2022-05-22 19:22:23
Distrikt Brokopondo,4.75,-55.1667,78.82,84,100,3.44,SR,2022-05-22 19:22:23
Nadadores,27.05,-101.6,74.08,94,100,9.22,MX,2022-05-22 19:22:23
Nikolskoye,59.7035,30.7861,44.49,57,7,2.21,RU,2022-05-22 19:22:24
Yerbogachën,61.2767,108.0108,45.25,94,74,1.05,RU,2022-05-22 19:22:24
Miles City,46.4083,-105.8406,56.37,35,0,12.66,US,2022-05-22 19:22:25
Cherskiy,68.75,161.3,50.2,53,93,14.81,RU,2022-05-22 19:22:25
Auki,-8.7676,160.7034,77.0,88,22,3.89,SB,2022-05-22 19:22:25
Alofi,-19.0595,-169.9187,69.69,100,5,1.14,NU,2022-05-22 19:22:26
Corbélia,-24.7989,-53.3067,67.35,64,100,4.74,BR,2022-05-22 19:22:26
Kuybyshevo,47.8123,38.9073,52.54,88,46,9.98,RU,2022-05-22 19:22:26
Saldanha,-33.0117,17.9442,53.65,87,91,5.77,ZA,2022-05-22 19:22:27
Broome,42.2506,-75.833,83.66,65,75,10.36,US,2022-05-22 19:22:27
Richards Bay,-28.783,32.0377,64.0,89,100,18.03,ZA,2022-05-22 19:22:27
Hithadhoo,-0.6,73.0833,83.86,72,90,11.77,MV,2022-05-22 19:21:15
Gamba,-2.65,10.0,75.69,74,76,6.73,GA,2022-05-22 19:22:28
Shache,38.4167,77.2406,71.51,32,100,12.03,CN,2022-05-22 19:22:28
East London,-33.0153,27.9116,61.32,83,0,3.67,ZA,2022-05-22 19:19:04
Waingapu,-9.6567,120.2641,76.96,84,53,9.06,ID,2022-05-22 19:22:29
Ciudad Bolivar,8.1222,-63.5497,87.35,53,99,7.81,VE,2022-05-22 19:22:29
Faanui,-16.4833,-151.75,80.44,73,12,15.26,PF,2022-05-22 19:22:29
Luque,37.558,-4.2797,72.68,53,0,5.79,ES,2022-05-22 19:22:30
Kuching,1.55,110.3333,78.22,100,40,2.3,MY,2022-05-22 19:22:30
Tarakan,3.3,117.6333,77.5,90,100,8.61,ID,2022-05-22 19:22:31
Umluj,25.0213,37.2685,80.94,48,10,9.78,SA,2022-05-22 19:22:31
La Asuncion,11.0333,-63.8628,96.53,41,13,19.57,VE,2022-05-22 19:22:31
Thompson,55.7435,-97.8558,62.76,27,75,13.8,CA,2022-05-22 19:22:32
Askiz,53.1319,90.5264,67.03,46,100,3.02,RU,2022-05-22 19:22:32
Tuatapere,-46.1333,167.6833,43.93,84,65,7.61,NZ,2022-05-22 19:22:32
Ambilobe,-13.2,49.05,74.61,70,61,4.63,MG,2022-05-22 19:22:33
Kemijärvi,66.7131,27.4306,47.35,83,30,8.39,FI,2022-05-22 19:22:33
Novikovo,51.1537,37.8879,44.76,95,87,8.37,RU,2022-05-22 19:18:00
Bethel,41.3712,-73.414,93.18,53,0,5.75,US,2022-05-22 19:22:34
Griffith,41.5284,-87.4237,63.05,48,100,4.61,US,2022-05-22 19:22:34
Solnechnyy,50.7214,136.6319,34.34,88,85,2.08,RU,2022-05-22 19:22:35
Fairbanks,64.8378,-147.7164,64.36,30,40,3.44,US,2022-05-22 19:21:22
São João da Barra,-21.6403,-41.0511,75.29,66,20,9.75,BR,2022-05-22 19:22:35
Bundaberg,-24.85,152.35,63.21,98,100,1.01,AU,2022-05-22 19:22:35
Mabaruma,8.2,-59.7833,80.8,78,99,7.07,GY,2022-05-22 19:22:36
Coria,39.9879,-6.5377,72.45,61,75,2.08,ES,2022-05-22 19:19:57
Laas,46.6166,10.7002,72.48,90,100,5.79,IT,2022-05-22 19:22:36
Okha,53.5739,142.9478,31.39,93,100,10.74,RU,2022-05-22 19:22:37
Guerrero Negro,27.9769,-114.0611,67.8,57,0,14.58,MX,2022-05-22 19:18:11
Turukhansk,65.8167,87.9833,53.73,70,80,6.46,RU,2022-05-22 19:22:37
Slave Lake,55.2834,-114.769,55.38,41,0,4.61,CA,2022-05-22 19:22:37
Puerto Ayora,-0.7393,-90.3518,78.76,76,66,11.05,EC,2022-05-22 19:22:38
Honningsvåg,70.9821,25.9704,46.15,76,0,2.3,NO,2022-05-22 19:22:38
Belaya Gora,68.5333,146.4167,44.44,82,25,1.63,RU,2022-05-22 19:22:39
Leningradskiy,69.3833,178.4167,33.67,92,100,3.94,RU,2022-05-22 19:22:39
Geraldton,-28.7667,114.6,64.81,72,40,16.11,AU,2022-05-22 19:19:17
Arraial do Cabo,-22.9661,-42.0278,73.36,68,0,16.11,BR,2022-05-22 19:22:39
Kosh-Agach,50.0,88.6667,57.52,41,100,7.29,RU,2022-05-22 19:22:40
Seymchan,62.8833,152.4333,42.26,67,100,5.14,RU,2022-05-22 19:22:40
Mynay,48.5833,22.2833,59.86,66,62,9.98,UA,2022-05-22 19:22:41
Esim,4.8699,-2.2405,76.17,86,100,4.92,GH,2022-05-22 19:22:41
Tiksi,71.6872,128.8694,30.58,87,100,5.44,RU,2022-05-22 19:22:41
Lavrentiya,65.5833,-171.0,38.86,76,100,9.1,RU,2022-05-22 19:22:42
Nyurba,63.2842,118.3319,46.18,69,26,0.49,RU,2022-05-22 19:22:42
Esso,55.9333,158.7,36.28,98,80,3.67,RU,2022-05-22 19:22:42
Raton,36.9034,-104.4391,47.01,46,75,23.02,US,2022-05-22 19:22:43
Weston,26.1004,-80.3998,90.01,65,40,14.97,US,2022-05-22 19:19:51
Havelock,34.8791,-76.9013,82.96,83,100,10.36,US,2022-05-22 19:22:43
Maykop,44.6078,40.1058,51.28,79,5,0.51,RU,2022-05-22 19:22:44
Rocha,-34.4833,-54.3333,64.58,58,22,2.86,UY,2022-05-22 19:22:44
Port Hardy,50.6996,-127.4199,51.98,82,75,4.61,CA,2022-05-22 19:22:44
Butembo,0.15,29.2833,58.78,97,97,2.44,CD,2022-05-22 19:22:45
Haines Junction,60.7522,-137.5108,57.15,30,100,3.44,CA,2022-05-22 19:22:45
Bambous Virieux,-20.3428,57.7575,75.45,64,40,10.36,MU,2022-05-22 19:22:45
Nemuro,43.3236,145.575,45.23,98,100,11.92,JP,2022-05-22 19:22:46
Rognan,67.0953,15.3878,53.76,68,100,2.51,NO,2022-05-22 19:22:15
Coyhaique,-45.5752,-72.0662,39.81,81,75,10.36,CL,2022-05-22 19:22:46
Port-Cartier,50.0334,-66.8654,59.22,76,100,5.06,CA,2022-05-22 19:22:47
Soyo,-6.1349,12.3689,75.56,77,60,9.8,AO,2022-05-22 19:22:47
Shostka,51.863,33.4698,46.74,91,87,6.85,UA,2022-05-22 19:22:47
Huron,41.1501,-82.5499,64.69,80,100,7.34,US,2022-05-22 19:20:16
Caranavi,-15.8167,-67.55,70.14,67,98,3.42,BO,2022-05-22 19:22:48
Dawlatabad,36.4141,64.9053,65.12,28,0,6.29,AF,2022-05-22 19:22:48
Hong Kong,22.2855,114.1577,77.18,90,100,15.99,HK,2022-05-22 19:22:48
Vila Franca do Campo,37.7167,-25.4333,64.81,90,74,4.7,PT,2022-05-22 19:22:49
Sangar,63.9242,127.4739,37.33,96,62,1.45,RU,2022-05-22 19:22:49
Aklavik,68.2191,-135.0107,26.6,74,100,9.22,CA,2022-05-22 19:22:49
Port Lincoln,-34.7333,135.8667,61.61,78,100,10.04,AU,2022-05-22 19:22:50
Marabu,4.4148,114.0089,78.94,89,40,8.05,MY,2022-05-22 19:22:50
Port Blair,11.6667,92.75,82.96,81,100,21.79,IN,2022-05-22 19:22:50
North Bend,43.4065,-124.2243,68.23,87,0,8.05,US,2022-05-22 19:22:51
Adrar,20.5022,-10.0711,98.73,10,94,8.23,MR,2022-05-22 19:22:51
Yining,29.0361,114.5636,64.35,98,100,0.2,CN,2022-05-22 19:22:51
Ajdabiya,30.7554,20.2263,66.2,64,0,6.04,LY,2022-05-22 19:21:26
Port Macquarie,-31.4333,152.9167,55.89,85,100,3.89,AU,2022-05-22 19:22:52
Torbay,47.6666,-52.7314,62.28,39,100,13.8,CA,2022-05-22 19:22:53
Olafsvik,64.8945,-23.7142,45.55,64,1,11.9,IS,2022-05-22 19:22:53
Toma,12.7667,-2.8833,91.96,34,68,11.21,BF,2022-05-22 19:22:53
Pacifica,37.6138,-122.4869,81.14,69,20,14.97,US,2022-05-22 19:22:54
Santiago del Estero,-27.7951,-64.2615,78.28,28,0,11.97,AR,2022-05-22 19:20:19
Srednekolymsk,67.45,153.6833,50.56,51,99,9.69,RU,2022-05-22 19:22:54
Praia da Vitória,38.7333,-27.0667,66.45,94,75,5.26,PT,2022-05-22 19:22:54
Asău,46.4333,26.4,58.28,72,96,0.96,RO,2022-05-22 19:22:55
Emerald,-23.5333,148.1667,60.35,87,96,12.66,AU,2022-05-22 19:18:15
Port Hedland,-20.3167,118.5667,77.05,100,100,5.75,AU,2022-05-22 19:22:55
Atar,20.5169,-13.0499,103.87,8,98,1.66,MR,2022-05-22 19:22:57
Gonder,12.6,37.4667,66.88,56,18,5.39,ET,2022-05-22 19:22:57
Kigoma,-4.8769,29.6267,75.51,73,90,1.92,TZ,2022-05-22 19:22:57
Pareora,-44.4871,171.2132,40.17,78,3,6.91,NZ,2022-05-22 19:22:58
Valpoi,15.5305,74.1356,78.31,91,100,3.04,IN,2022-05-22 19:22:58
Sabang,5.8933,95.3214,83.68,77,100,21.85,ID,2022-05-22 19:22:59
Alyangula,-13.8483,136.4192,77.34,79,100,10.02,AU,2022-05-22 19:22:59
Ilulissat,69.2167,-51.1,35.62,87,75,4.61,GL,2022-05-22 19:23:00
Vilhena,-12.7406,-60.1458,84.42,42,40,6.91,BR,2022-05-22 19:23:00
Baracoa,20.3467,-74.4958,83.95,69,100,10.56,CU,2022-05-22 19:23:00
Bathsheba,13.2167,-59.5167,84.81,70,40,18.41,BB,2022-05-22 19:23:01
Dhārchula,29.85,80.5333,64.33,77,38,3.51,IN,2022-05-22 19:23:01
Birjand,32.8663,59.2211,66.67,20,1,6.91,IR,2022-05-22 19:23:01
Yangi Marg`ilon,40.4272,71.7189,54.32,82,40,0.0,UZ,2022-05-22 19:23:02
San Cristobal,7.7669,-72.225,82.58,41,1,8.05,VE,2022-05-22 19:23:02
Ballina,-28.8667,153.5667,58.78,83,30,11.79,AU,2022-05-22 19:23:03
Borogontsy,62.6683,131.1683,38.26,78,38,4.7,RU,2022-05-22 19:23:03
Tarancón,40.0085,-3.0073,68.95,50,0,14.61,ES,2022-05-22 19:23:04
Mahon,39.8885,4.2658,72.16,78,0,8.05,ES,2022-05-22 19:23:04
Marsh Harbour,26.5412,-77.0636,79.56,74,70,15.55,BS,2022-05-22 19:23:04
South Kazakhstan Region,43.0,68.0,62.35,45,6,10.65,KZ,2022-05-22 19:23:05
Yagodnoye,62.55,149.6667,33.57,90,100,0.94,RU,2022-05-22 19:23:05
Lorengau,-2.0226,147.2712,82.9,70,90,11.56,PG,2022-05-22 19:23:06
Bulanash,57.2783,61.9965,36.77,90,81,6.44,RU,2022-05-22 19:23:06
Shubarshi,48.5872,57.1869,56.41,70,100,19.86,KZ,2022-05-22 19:23:06
San Juan,-31.5375,-68.5364,76.37,15,30,5.82,AR,2022-05-22 19:21:06
Galesong,-5.3166,119.3661,75.22,81,48,4.14,ID,2022-05-22 19:23:07
Pando,-34.7167,-55.95,66.6,52,0,6.91,UY,2022-05-22 19:23:07
Tanhaçu,-14.0214,-41.2481,83.59,30,0,4.41,BR,2022-05-22 19:23:07
Aksu,41.1231,80.2644,76.62,25,100,7.9,CN,2022-05-22 19:23:08
Menongue,-14.6585,17.691,56.89,50,0,4.12,AO,2022-05-22 19:23:08
Tiznit Province,29.5833,-9.5,78.08,45,15,3.91,MA,2022-05-22 19:21:35
Nuuk,64.1835,-51.7216,34.41,93,100,32.21,GL,2022-05-22 19:23:09
Seoul,37.5683,126.9778,62.17,82,75,3.44,KR,2022-05-22 19:23:09
Gazojak,41.1875,61.4036,68.49,35,0,5.01,TM,2022-05-22 19:23:09
Clyde River,70.4692,-68.5914,21.43,86,100,34.52,CA,2022-05-22 19:23:10
Rio Grande,-32.035,-52.0986,68.11,67,0,6.93,BR,2022-05-22 19:23:10
Jonesboro,35.8423,-90.7043,64.22,72,100,9.22,US,2022-05-22 19:19:17
Río Gallegos,-51.6226,-69.2181,42.13,48,3,11.34,AR,2022-05-22 19:21:34
Atambua,-9.1061,124.8925,71.2,87,7,5.08,ID,2022-05-22 19:23:11
Usinsk,65.9939,57.5281,32.07,93,100,29.66,RU,2022-05-22 19:23:11
Isangel,-19.55,169.2667,75.47,85,70,6.85,VU,2022-05-22 19:23:12
Ancud,-41.8697,-73.8203,48.94,68,0,14.14,CL,2022-05-22 19:23:12
Lagoa,39.05,-27.9833,62.24,92,100,5.97,PT,2022-05-22 19:23:13
Atasū,48.6814,71.6433,46.18,49,0,2.86,KZ,2022-05-22 19:23:13
Colares,38.7992,-9.4469,65.88,81,75,25.01,PT,2022-05-22 19:18:38
Sharanga,57.1775,46.5396,30.96,90,83,6.58,RU,2022-05-22 19:23:14
Bonavista,48.6499,-53.1147,54.23,70,100,15.28,CA,2022-05-22 19:23:14
Kununurra,-15.7667,128.7333,58.98,82,93,0.0,AU,2022-05-22 19:23:14
Priyutnoye,46.1011,43.5072,57.27,85,69,8.5,RU,2022-05-22 19:23:15
Lüderitz,-26.6481,15.1594,58.19,69,24,7.27,NA,2022-05-22 19:23:15
Marsala,37.7966,12.4352,73.89,83,0,4.61,IT,2022-05-22 19:23:15
Viedma,-40.8135,-62.9967,58.64,35,100,13.31,AR,2022-05-22 19:23:16
Antalaha,-14.9003,50.2788,71.92,84,25,7.23,MG,2022-05-22 19:23:16
Safi,32.2994,-9.2372,68.72,73,100,21.14,MA,2022-05-22 19:23:16
Florina,40.782,21.4098,63.07,85,71,4.29,GR,2022-05-22 19:23:18
Assiut,27.181,31.1837,78.98,20,0,10.27,EG,2022-05-22 19:23:18
Volodarskiy,46.4013,48.5409,62.55,74,3,7.74,RU,2022-05-22 19:23:19
Amga,60.8953,131.9608,35.29,89,2,2.75,RU,2022-05-22 19:23:19
Twentynine Palms,34.1356,-116.0542,87.06,16,0,2.73,US,2022-05-22 19:23:20
Quesnel,52.9999,-122.5029,63.1,34,0,4.61,CA,2022-05-22 19:23:20
Salalah,17.0151,54.0924,84.29,84,75,6.91,OM,2022-05-22 19:21:02
Carlisle,40.2015,-77.1889,91.04,62,59,7.56,US,2022-05-22 19:22:57
Longyearbyen,78.2186,15.6401,35.44,87,75,5.75,SJ,2022-05-22 19:23:21
Maltahöhe,-24.8333,16.9833,54.54,46,19,7.18,NA,2022-05-22 19:23:21
Butaritari,3.0707,172.7902,81.34,79,59,10.8,KI,2022-05-22 19:23:21
Senekal,-28.3197,27.6208,51.22,68,5,3.27,ZA,2022-05-22 19:23:22
Lamar,33.6668,-95.5836,62.51,88,100,10.36,US,2022-05-22 19:23:22
Katsuura,35.1333,140.3,64.9,88,66,9.51,JP,2022-05-22 19:21:42
Maragogi,-9.0122,-35.2225,79.2,79,5,15.23,BR,2022-05-22 19:23:23
Amalāpuram,16.5833,82.0167,83.37,75,28,3.2,IN,2022-05-22 19:23:23
College,64.8569,-147.8028,64.35,29,40,9.22,US,2022-05-22 19:23:23
Khudumelapye,-23.8833,24.75,52.66,53,0,2.13,BW,2022-05-22 19:23:24
Khatanga,71.9667,102.5,31.82,93,100,6.78,RU,2022-05-22 19:23:24
Whangarei,-35.7317,174.3239,52.57,92,100,3.71,NZ,2022-05-22 19:23:25
Santiago de Cao,-7.9589,-79.2392,64.53,77,64,12.66,PE,2022-05-22 19:23:25
Maniitsoq,65.4167,-52.9,32.22,99,100,17.47,GL,2022-05-22 19:23:25
Kikwit,-5.041,18.8162,73.98,82,84,2.04,CD,2022-05-22 19:23:26
